	Source	Target	Weight	Type
3569	Shen_Y	The-Google-Books-Team	1	Undirected
3568	Pedersen_J	Yang_Y	1	Undirected
3504	Cha_S	Cha_S	1	Undirected
3506	Pir_P	Sparkes_A	1	Undirected
3525	Beel_J	Meuschke_N	1	Undirected
3518	El-Abed_M	Giot_R	1	Undirected
3524	Hida_K	Sawada_K	1	Undirected
3523	Croft_D	Croft_D	1	Undirected
3522	Sidner_C	Sidner_C	1	Undirected
3520	Kemerer_C	Kemerer_C	1	Undirected
3500	Jamak_A	Savatić_A	1	Undirected
3519	Kirschnick_N	Lohlein_B	1	Undirected
3517	Derrick_D	Gariup_M	1	Undirected
3510	Furnell_S	Saevanee_H	1	Undirected
3516	Goldberg_P	Phillips_C	1	Undirected
3515	Braine_M	Braine_M	1	Undirected
3514	Kintsch_W	Quesada_J	1	Undirected
3513	Khinchin_A	Khinchin_A	1	Undirected
3512	Schneier_B	Schneier_B	1	Undirected
3511	Gerwig_G	Gerwig_G	1	Undirected
3746	Oakley_R	Stratil_M	1	Undirected
3748	Kirschnick_N	Rokach_L	1	Undirected
3749	Roper_M	Snow_G	1	Undirected
909	Evert_S	Neumann_S	1	Undirected
