	Id	Weight	Label
1843	Shore_H	1	Shore_H
1844	Naim_A	1	Naim_A
2538	Schommer_C	1	Schommer_C
2539	Winter_E	1	Winter_E
2619	Räihä_K	1	Räihä_K
2523	Ariba_B	1	Ariba_B
334	Fredriksson_K	1	Fredriksson_K
3236	Moskovich_W	1	Moskovich_W
3235	Berry_L	1	Berry_L
347	Morales_M	1	Morales_M
337	Ball_J	1	Ball_J
339	Chisholm_A	1	Chisholm_A
340	Hartmann_R	1	Hartmann_R
3234	Carpenter_R	1	Carpenter_R
342	Ding_H	1	Ding_H
3233	Wickramarathne_T	1	Wickramarathne_T
344	Pietra_S	1	Pietra_S
345	Leighton_J	1	Leighton_J
338	Kimler_M	1	Kimler_M
3217	Meyer_B	1	Meyer_B
367	Carroll_J	1	Carroll_J
369	Jones_E	1	Jones_E
392	Budhiraja_S	1	Budhiraja_S
393	Veenman_C	1	Veenman_C
394	Byrne_M	1	Byrne_M
395	Weber_J	1	Weber_J
396	Sezer_E	1	Sezer_E
397	Kocagul_H	1	Kocagul_H
3221	Nayak_A	1	Nayak_A
333	Paez_R	1	Paez_R
332	Lynch_M	1	Lynch_M
331	Adamson_R	1	Adamson_R
357	Haberman_S	1	Haberman_S
411	Hettinger_L	1	Hettinger_L
409	Schonwetter_M	1	Schonwetter_M
350	Stone_L	1	Stone_L
351	Brown_G	1	Brown_G
352	Hirsch_J	1	Hirsch_J
3232	Chaudhary_V	1	Chaudhary_V
354	Bauer_E	1	Bauer_E
355	Goldgar_B	1	Goldgar_B
356	Siebes_A	1	Siebes_A
349	Moon_F	1	Moon_F
3230	Koch_I	1	Koch_I
330	Lioma_C	1	Lioma_C
3229	Van-Gijsel_S	1	Van-Gijsel_S
361	Berry-Rogghe_G	1	Berry-Rogghe_G
362	Polanyi_L	1	Polanyi_L
363	Scott_C	1	Scott_C
3228	Light_M	1	Light_M
365	Nagase_M	1	Nagase_M
3231	Theophilo_A	1	Theophilo_A
366	Motter_A	1	Motter_A
348	Crofts_D	1	Crofts_D
346	Gonick_L	1	Gonick_L
391	Norman_K	1	Norman_K
399	Massey_J	1	Massey_J
401	Shi_E	1	Shi_E
600	Subbalakshmi_K	1	Subbalakshmi_K
329	Johnson_J	1	Johnson_J
492	Soldatova_L	1	Soldatova_L
494	Vingrys_A	1	Vingrys_A
601	Gao_K	1	Gao_K
603	Pugh_E	1	Pugh_E
604	Glass_R	1	Glass_R
605	Sagot_B	1	Sagot_B
606	Croenen_G	1	Croenen_G
607	Lambers_M	1	Lambers_M
3154	McIntosh_R	1	McIntosh_R
609	Blackwell_S	1	Blackwell_S
386	Ord_T	1	Ord_T
611	Silven_O	1	Silven_O
612	Iancu_C	1	Iancu_C
3153	Wallhoff_F	1	Wallhoff_F
614	Good_I	1	Good_I
3152	Rose_H	1	Rose_H
3151	Bartlett_P	1	Bartlett_P
618	Mann_H	1	Mann_H
610	Hartigan_R	1	Hartigan_R
619	Bennett_W	1	Bennett_W
599	Ries_K	1	Ries_K
379	Pichler_A	1	Pichler_A
385	Fillmore_C	1	Fillmore_C
3220	Peng_C	1	Peng_C
371	Lee_L	1	Lee_L
404	Almela_Á	1	Almela_Á
405	Speer_S	1	Speer_S
3218	Kanaris_I	1	Kanaris_I
407	Bollen_J	1	Bollen_J
408	Brassard_G	1	Brassard_G
400	Lau_R	1	Lau_R
368	Goodman_F	1	Goodman_F
390	Llorens_M	1	Llorens_M
387	Li_Z	1	Li_Z
3227	Crestani_F	1	Crestani_F
372	Mac-Carron_P	1	Mac-Carron_P
3223	Ohm_P	1	Ohm_P
373	Walsh_M	1	Walsh_M
374	Vaithyanathan_S	1	Vaithyanathan_S
375	Jarvis_S	1	Jarvis_S
376	Celikel_E	1	Celikel_E
389	Rijke_M	1	Rijke_M
3226	Buckland_W	1	Buckland_W
